time,logger,level,message,exception
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1096', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1097 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1097', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1098 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1098', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1099 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1099', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1100 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1100', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1101 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1101', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1102 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1102', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1103 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1103', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1104 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1104', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1105 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1105', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1106 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1106', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1107 and etag ,
2011-08-06 14:05:42.5052,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1107', update: False, ",
2011-08-06 14:05:42.5052,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1108 and etag ,
